Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Beast Of Burden - Remastered,The Rolling Stones,3:27,0.386,0.814,0.689,0.014,0.0273,-8.831,0.0315,100.811,0.866
Epic,Faith No More,4:53,0.0222,0.358,0.893,0.0524,0.126,-7.486,0.12,174.238,0.262
True Faith '94,New Order,5:35,0.0158,0.605,0.907,0.0158,0.0697,-3.56,0.033,117.511,0.965
Alone Again Or,Love,3:17,0.684,0.307,0.379,5.77E-04,0.113,-11.8,0.031,173.728,0.184
Love Me Tender,Elvis Presley,2:41,0.873,0.366,0.0586,0,0.108,-16.213,0.0454,165.529,0.283
I Wanna Be Your Dog - 2005 Remaster,The Stooges,3:10,0.0681,0.541,0.913,0.0523,0.414,-8.03,0.0359,120.634,0.113
You Should Be Dancing - 2009 Remastered Version,Bee Gees,4:16,0.0237,0.699,0.857,0.462,0.607,-6.528,0.0308,122.98,0.958
Pink Houses,John Mellencamp,4:43,0.0678,0.642,0.722,3.02E-06,0.0854,-7.434,0.0272,115.266,0.654
Come Go With Me,The Del-Vikings,2:40,0.621,0.584,0.576,8.11E-04,0.0925,-11.184,0.0455,131.814,0.468
I Shot The Sheriff,The Wailers,4:40,0.338,0.797,0.644,6.51E-05,0.0592,-9.253,0.188,96.87,0.706
I Got You Babe,Sonny & Cher,3:15,0.23,0.609,0.765,0,0.558,-7.312,0.0266,110.283,0.635
The Killing Moon,Echo & the Bunnymen,5:46,0.132,0.522,0.85,0.0338,0.295,-4.769,0.0361,124.216,0.71
Iris,The Goo Goo Dolls,4:49,0.00133,0.291,0.79,5.61E-06,0.0811,-5.683,0.0363,155.667,0.513
Come As You Are,Nirvana,3:39,8.36E-05,0.5,0.832,0.00655,0.0924,-6.281,0.0325,120.066,0.553
Pressure Drop - Single Version,Toots & The Maytals,2:52,0.0982,0.651,0.589,0,0.0375,-12.146,0.0413,148.854,0.987
Get Ur Freak On,Missy Elliott,3:31,0.533,0.797,0.75,0.108,0.095,-9.369,0.247,177.87,0.74
Burning Down the House,Talking Heads,4:01,0.00644,0.779,0.87,0.0107,0.0399,-13.141,0.0574,102.689,0.555
Leader Of The Pack,The Shangri-Las,2:53,0.835,0.397,0.63,1.75E-06,0.152,-6.122,0.0957,122.741,0.386
Heroin - Album Version (Stereo),The Velvet Underground,7:12,0.291,0.201,0.719,0.699,0.1,-11.787,0.0576,147.539,0.227
Vienna - 2009 Remastered Version,Ultravox,4:39,0.15,0.532,0.581,0.227,0.0969,-10.115,0.0628,80.496,0.498
By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,2:44,0.0743,0.218,0.336,1.61E-06,0.134,-12.997,0.0301,176.66,0.232
Let's Twist Again,Chubby Checker,2:19,0.229,0.553,0.828,0,0.138,-5.513,0.161,83.782,0.915
Holding Back the Years - 2008 Remaster,Simply Red,4:29,0.58,0.707,0.514,1.59E-04,0.0953,-8.885,0.0281,86.035,0.524
Cupid,Sam Cooke,2:36,0.532,0.477,0.489,0,0.0864,-8.83,0.0345,120.429,0.799
Paradise City,Guns N' Roses,6:46,0.0146,0.273,0.953,0.0173,0.19,-8.76,0.0768,100.26,0.445
My Sweet Lord - 2010 Remaster,Billy Preston,3:22,0.626,0.622,0.636,9.91E-05,0.469,-10.843,0.0495,124.37,0.674
All Apologies - MTV Unplugged,Nirvana,3:45,0.431,0.645,0.568,1.16E-04,0.689,-8.361,0.0324,108.985,0.207
Stagger Lee,Lloyd Price,3:07,0.116,0.649,0.399,0.00149,0.089,-17.498,0.0772,116.209,0.597
Golden Brown,The Stranglers,3:26,0.143,0.562,0.383,0.124,0.138,-15.474,0.0304,93.764,0.599
Sheena Is A Punk Rocker [Remastered ABC Single Version],Ramones,2:47,0.157,0.537,0.877,0,0.0913,-5.024,0.0327,176.407,0.843
Soul Man,Sam & Dave,2:36,0.0049,0.666,0.631,0.486,0.258,-5.932,0.0304,112.593,0.643
Rollin' Stone,Muddy Waters,3:09,0.989,0.787,0.0338,4.49E-05,0.0833,-16.827,0.063,85.005,0.359
One Fine Day,The Chiffons,2:08,0.488,0.251,0.868,7.34E-06,0.814,-2.685,0.128,177.13,0.599
Respect Yourself,The Staple Singers,3:31,0.16,0.828,0.669,0.00333,0.0756,-8.637,0.0254,109.964,0.926
Standing In The Shadows Of Love - Single Version (Mono),Four Tops,2:36,0.114,0.743,0.709,9.74E-06,0.331,-12.229,0.036,113.846,0.835
Surrender,Cheap Trick,4:13,0.00757,0.524,0.953,5.02E-06,0.771,-7.097,0.0416,133.828,0.869
Welcome To The Jungle,Guns N' Roses,4:31,0.0258,0.438,0.98,0.462,0.279,-4.963,0.102,123.407,0.326
Search and Destroy [2023 Remaster] - Iggy Mix,The Stooges,3:30,0.00353,0.235,0.977,0.00604,0.172,0.878,0.107,152.952,0.241
Free Man in Paris,Joni Mitchell,3:03,0.513,0.61,0.639,0,0.0837,-7.681,0.0353,81.232,0.676
On The Road Again,Willie Nelson,2:37,0.398,0.692,0.653,0.0152,0.971,-12.382,0.053,111.05,0.831
Where Did Our Love Go - Single Version / Mono,The Supremes,2:33,0.594,0.612,0.646,0,0.085,-5.056,0.0291,134.685,0.716
I Believe I Can Fly,R. Kelly,5:20,0.163,0.544,0.473,0,0.112,-5.875,0.0297,120.459,0.0574
"Do Right Woman, Do Right Man",Aretha Franklin,3:16,0.788,0.635,0.135,0,0.33,-17.484,0.0404,133.836,0.634
I Want to Know What Love Is - 1999 Remaster,Foreigner,5:04,0.193,0.477,0.471,1.76E-06,0.131,-10.036,0.0277,81.204,0.423
Lady Marmalade (feat. Patti LaBelle),LaBelle,3:56,0.285,0.588,0.67,0,0.0768,-8.044,0.0573,118.051,0.794
Into The Mystic,Van Morrison,3:30,0.2,0.506,0.416,0.00274,0.0775,-15.141,0.045,170.172,0.716
Young Americans - 1999 Remastered Version,David Bowie,5:13,0.066,0.497,0.823,0,0.0675,-8.4,0.156,168.879,0.909
I'm Eighteen,Alice Cooper,2:58,0.108,0.639,0.451,3.39E-04,0.11,-14.529,0.0319,98.141,0.602
Graceland - Remastered Album Version,Paul Simon,4:51,0.444,0.725,0.648,8.86E-04,0.082,-11.17,0.0345,117.844,0.866
Under the Boardwalk,The Drifters,2:41,0.908,0.747,0.226,1.68E-04,0.107,-13.635,0.0414,123.792,0.778
Rhiannon,Fleetwood Mac,4:12,0.111,0.723,0.49,0.0946,0.0923,-14.745,0.0296,129.012,0.795
West End Girls - 2001 Remaster,Pet Shop Boys,4:05,0.0114,0.648,0.947,0.0567,0.105,-6.617,0.0369,113.255,0.602
I Will Survive - Remastered,Gloria Gaynor,4:55,0.0346,0.704,0.631,0,0.159,-12.299,0.0398,123.286,0.793
Brown Sugar - Remastered,The Rolling Stones,3:48,0.351,0.657,0.835,4.25E-04,0.0944,-8.078,0.0318,129.014,0.967
The Best,Tina Turner,5:30,0.103,0.651,0.87,0.00815,0.0979,-5.149,0.0318,103.857,0.729
You Don't Have To Say You Love Me,Dusty Springfield,2:48,0.663,0.302,0.439,0,0.114,-10.465,0.0329,112.084,0.526
Running on Empty,Jackson Browne,4:58,0.006,0.531,0.948,0.0117,0.694,-5.438,0.0568,136.891,0.498
Then He Kissed Me,The Crystals,2:37,0.662,0.43,0.796,1.80E-06,0.252,-4.404,0.039,136.648,0.645
Miss You - Remastered,The Rolling Stones,4:48,0.421,0.797,0.718,0.00678,0.236,-4.747,0.0423,109.688,0.811
Jump - 2004 Remaster,Van Halen,4:04,0.123,0.553,0.838,3.01E-05,0.053,-5.824,0.0317,129.893,0.821
Buddy Holly,Weezer,2:39,0.00271,0.556,0.92,2.10E-04,0.117,-4.606,0.0367,121.138,0.771
I'm Every Woman,Chaka Khan,4:05,0.104,0.539,0.969,5.82E-06,0.341,-3.713,0.078,114.465,0.652
Rainy Night In Georgia,Brook Benton,4:09,0.417,0.512,0.253,0.00184,0.0762,-15.793,0.0391,137.082,0.326
The Boys Are Back In Town,Thin Lizzy,4:26,0.216,0.449,0.7,2.29E-04,0.182,-9.777,0.0466,80.631,0.786
"Baby, I Love You",Ramones,3:44,0.202,0.735,0.653,3.07E-04,0.0802,-5.533,0.0269,107.779,0.93
More Than a Feeling,Boston,4:45,8.94E-04,0.377,0.682,0.00217,0.0504,-8.039,0.0299,108.736,0.288
