Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
When a Man Loves a Woman,Percy Sledge,2:50,0.131,0.191,0.604,0,0.132,-6.338,0.0337,65.11,0.293
Ever Fallen in Love (With Someone You Shouldn't've)?,Buzzcocks,2:42,0.0657,0.259,0.737,5.36E-06,0.0521,-11.487,0.0401,175.068,0.859
Louie Louie,The Kingsmen,2:45,0.102,0.623,0.709,0,0.0967,-9.818,0.0636,122.394,0.948
Long Tall Sally,Little Richard,2:11,0.776,0.402,0.753,0,0.184,-5.929,0.119,185.509,0.823
Under the Bridge,Red Hot Chili Peppers,4:25,0.0168,0.554,0.49,5.34E-04,0.136,-8.046,0.0457,84.275,0.513
Anarchy In The UK,Sex Pistols,3:31,0.225,0.362,0.946,2.51E-05,0.506,-8.627,0.0896,134.184,0.212
A Whiter Shade Of Pale - Live,Procol Harum,7:46,0.841,0.263,0.624,0.507,0.975,-7.583,0.0549,131.99,0.2
Everyday Is Like Sunday,Morrissey,3:33,0.00593,0.613,0.704,0.482,0.203,-10.732,0.0279,116.904,0.623
Billie Jean - Single Version,Michael Jackson,4:52,0.0186,0.923,0.582,0.0366,0.0453,-5.115,0.0417,117.182,0.82
The Times They Are A-Changin',Bob Dylan,3:12,0.887,0.389,0.396,0,0.0828,-7.999,0.0332,171.86,0.585
Let's Stay Together,Al Green,3:18,0.527,0.728,0.467,2.40E-05,0.0416,-7.394,0.0501,101.536,0.584
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,2:53,0.741,0.35,0.573,2.03E-05,0.171,-11.34,0.0317,163.654,0.562
Bo Diddley - 1973 Album Version (Stereo),Bo Diddley,2:55,0.0615,0.769,0.773,0.0744,0.056,-8.612,0.0609,110.502,0.865
For What It's Worth,Buffalo Springfield,2:33,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,98.883,0.822
Fast Car,Tracy Chapman,4:56,0.313,0.711,0.292,0,0.131,-15.523,0.037,103.951,0.194
Life on Mars? - 2003 Ken Scott Mix,David Bowie,3:48,0.238,0.466,0.519,0,0.0675,-9.056,0.0313,123.483,0.137
Redemption Song,Bob Marley & The Wailers,3:47,0.585,0.666,0.259,0,0.079,-10.721,0.04,116.082,0.698
Jailhouse Rock,Elvis Presley,2:34,0.303,0.631,0.639,5.54E-06,0.0699,-7.842,0.0961,167.351,0.89
Starman - 2012 Remaster,David Bowie,4:14,0.166,0.486,0.449,2.23E-06,0.54,-10.298,0.0267,100.456,0.549
Tangled Up In Blue,Bob Dylan,5:41,0.32,0.429,0.749,0,0.0809,-10.194,0.0414,99.699,0.574
Love Shack - Edit,The B-52's,4:17,0.142,0.701,0.792,1.28E-06,0.764,-8.644,0.0549,133.451,0.9
Crying,Roy Orbison,2:46,0.758,0.35,0.293,8.21E-06,0.104,-9.502,0.0258,96.685,0.162
Good Times,CHIC,8:15,0.149,0.87,0.657,0.0102,0.053,-7.32,0.0522,110.596,0.893
Papa's Got A Brand New Bag (Part 1) - Single Version,James Brown,2:06,0.576,0.768,0.818,0.0696,0.197,-5.154,0.0986,130.32,0.908
California Girls - Remix,The Beach Boys,2:47,0.304,0.447,0.782,0,0.131,-6.463,0.0357,115.043,0.822
Superstition - Single Version,Stevie Wonder,4:04,0.0172,0.642,0.735,7.33E-04,0.0391,-8.866,0.0806,99.682,0.864
Summertime Blues,Eddie Cochran,2:00,0.387,0.721,0.82,3.26E-04,0.198,-10.32,0.0448,155.968,0.966
You Really Got Me - Remastered,The Kinks,2:14,0.147,0.588,0.948,7.92E-05,0.0787,-4.073,0.0974,137.294,0.962
Mystery Train,Elvis Presley,2:31,0.595,0.7,0.416,0.0178,0.118,-15.297,0.0321,120.273,0.658
Mr. Tambourine Man,The Byrds,2:29,0.513,0.456,0.47,3.76E-05,0.444,-9.564,0.0294,120.336,0.639
I Heard It Through The Grapevine,Marvin Gaye,3:15,0.195,0.729,0.324,0,0.101,-13.017,0.0393,116.855,0.679
Blueberry Hill - Remastered 2002,Fats Domino,2:23,0.849,0.479,0.506,2.69E-05,0.25,-8.175,0.0272,136.662,0.83
Norwegian Wood - This Bird Has Flown - (Chill Out ),Fernando Diaz,2:49,0.589,0.321,0.165,0.0998,0.0864,-18.266,0.0368,159.996,0.316
Every Breath You Take,The Police,4:11,0.574,0.825,0.449,0.0034,0.0726,-9.859,0.0348,117.399,0.738
Crazy - Single Version,Patsy Cline,2:46,0.964,0.47,0.13,5.02E-05,0.0927,-13.226,0.0322,102.979,0.344
Thunder Road,Bruce Springsteen,4:47,0.667,0.374,0.606,1.23E-06,0.25,-10.836,0.0347,140.267,0.649
Ring Of Fire - Single Version,Johnny Cash,2:35,0.197,0.664,0.39,3.27E-04,0.401,-11.766,0.0279,104.57,0.625
My Girl,The Temptations,2:43,0.547,0.575,0.545,0,0.116,-6.177,0.0341,104.664,0.676
California Dreamin',The Mamas & The Papas,2:37,0.628,0.554,0.667,0,0.0486,-10.226,0.0342,112.749,0.597
Suspicious Minds,Elvis Presley,4:30,0.368,0.3,0.791,0.00337,0.946,-9.461,0.0574,72.538,0.72
Blitzkrieg Bop,Ramones,2:05,0.0225,0.249,0.962,0.0063,0.392,-10.19,0.0332,200.476,0.677
I Still Haven't Found What I'm Looking For,U2,4:37,0.0183,0.558,0.628,0.00141,0.0685,-12.922,0.0371,100.633,0.695
Good Golly Miss Molly,Little Richard,2:09,0.613,0.575,0.73,0.00638,0.326,-11.885,0.0488,163.872,0.968
Love And Happiness,Al Green,5:03,0.301,0.821,0.434,0.00602,0.0803,-10.981,0.164,99.821,0.753
Great Balls of Fire,Jerry Lee Lewis,1:51,0.563,0.526,0.728,0,0.159,-7.227,0.0737,78.709,0.88
Roll Over Beethoven,Chuck Berry,2:23,0.836,0.716,0.935,0,0.221,-3.824,0.17,92.599,0.838
Take It Easy - 2013 Remaster,Eagles,3:31,0.343,0.575,0.67,4.95E-06,0.129,-10.39,0.0318,139.191,0.74
Fortunate Son,Creedence Clearwater Revival,2:18,0.17,0.623,0.529,0.0201,0.489,-12.419,0.0353,132.74,0.603
